# 32420	２２１／４／屋敷の仕掛け４	
* Rance	ランス	Male
* Pastel Kalar	パステル	Female
* Sill Plain	シィル	Female

148165	Rance	「はあはあ……ポイント、ポイント……	「Haa haa... point after point...
148166	+	　いったいどこに……」	　Where the hell are they...」

148167	Pastel Kalar	「む、あったぞ！」	「Mu, found it!」

148168	Rance	「よ、ようやくラストか……」	「F-finally the last one...」

148169	Rance	「行けー！　パステルー！」	「Go! Pastel!」

148170	Pastel Kalar	「言われんでも行くわ！	「I don't need you to tell me!
148171	+	　黙っとれ！」	　Shut up!」

148172	Pastel Kalar	「ふにゃふにゃ〜、わくわく〜……	「Funya funya~, wakuwaku~...
148173	+	　あらほら〜、どんちけた〜……」	　Ara hora~, donchiketa~...」

148174	Pastel Kalar	「はっ！」	「Hah!」

148175	-	パリーンとどこかで何かが壊れる音と共に、	With the sound of something shattering somewhere,
148176	+	一瞬だけ辺りに赤い光がチカチカと瞬いた。	a red light flickered around them for a moment.

148177	Sill Plain	「え、い、今のは……」	「Eh, w-what was that just now...」

148178	Pastel Kalar	「結界が完全に解除された合図じゃ」	「The sign that the barrier has been fully dispelled.」

148179	Rance	「つまりもう迷わずに済むってことだな？」	「So we won't get lost anymore?」

148180	Pastel Kalar	「うむ」	「Yes.」

148181	Rance	「よし、ならば今度こそケッセルリンクをブッ殺す！	「Good, then this time I'll slaughter Kesselring!
148182	+	　行くぞ、お前ら！」	　Let's go, everyone!」
