# 33838	t２３２／３／戦場	

253363	?	背景　戦場を見下ろす丘	Background: Hill overlooking the battlefield.
253364	+	目的の近くに来たが、なんだ騒がしいぞ。	We've gotten near the destination, but what's this noise?
253365	+	少し丘を登ってみると、数万の魔物と数万ほどのハニーが	Climbing a little up the hill, tens of thousands of monsters and about the same number of Hannies
253366	+	大激戦をしていた。	were fiercely battling.
253367	+	なんだ・・これは仲間割れか・・	What... is this infighting?
253368	+	俺達、人類軍はどこにもないな、マジック達が来るといっていたが遅れているのか	Our human army isn't anywhere to be seen. Magic said they'd come, but are they delayed?
253369	+	魔物とハニーの戦いだ、奴ら手を組んだのでは無いのか・・	It's a fight between monsters and Hannies. Weren't they supposed to be working together?
253370	+	あいやー、あいやー、こいつら倒せー	Aiyaah, aiyaah, defeat these guys!
253371	+	どういう事だ、これは・・	What is going on here...?
253372	+	わかりません、ですが、チャンスです。	I don't know, but this is a chance.
253373	+	この混乱に乗じてウルザさんの居る所へ、魔物大将軍を倒しに向かいましょう	Let's take advantage of this confusion and head to where Urza is to defeat the Great Monster General.
