# 35101	t２４０／２／レイとメアリー	

261329	?		その頃、魔軍	Meanwhile, the Monster Army.
261330	+		ゴアの町、そこにレイが攻め込んでいた	In the town of Goa, Lei is attacking.
261331	+		抗戦する事も出来ずに町の人は降参状態	The townspeople are in a state of surrender, unable to resist.
261332	+		（ゴアは自由都市連合に加盟していないので守ってもらえない）	(Goa is not a member of the Free Cities Alliance, so they are not defended.)
261333	+		（第９条で無防備都市宣言をしている）	(They declared the city an undefended city under Article 9.)
261334	+		他の住民はビクビクして怯えてばかり	Other residents are living in fear and trembling.
261335	+		誰か俺と勝負しろと一般人に喧嘩をふっかけているとか・・	Apparently someone is provoking ordinary people, challenging them to fights saying 'Who wants to battle me?'
261336	+		ここでメアリーとの出会い１（内容未定）	Here, the first meeting with Mary (content undecided).
261337	+		みんな怯えて喧嘩相手に誰も出ないのでメアリーが出るとか	Everyone is scared and no one steps up to fight, so Mary steps in.
261338	+		レイを恐れてみんな逃げ惑い、それに巻き込まれて倒れたメアリー、気まぐれで助け起こすレイとか	Everyone panicked and fled in fear of Lei, and Mary, caught up in it, collapsed; Lei whimsically helped her up.
261339	+		※これは、カスタムルート、ジフテリアルート、共通	*This is common to the Custom Root and Diphteria  Root.
